Sample_id,Sample_label
1,7
2,1
3,1
4,1
5,1
6,1
7,9
8,1
9,1
10,2
11,1
12,4
13,1
14,8
15,4
16,1
17,9
18,1
19,6
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,2
28,8
29,8
30,1
31,4
32,1
33,1
34,5
35,1
36,6
37,1
38,1
39,1
40,2
41,1
42,1
43,3
44,8
45,1
46,2
47,1
48,1
49,1
50,1
51,2
52,3
53,2
54,1
55,3
56,9
57,9
58,1
59,3
60,2
61,1
62,1
63,4
64,1
65,6
66,1
67,1
68,2
69,2
70,1
71,1
72,1
73,8
74,5
75,1
76,3
77,1
78,3
79,9
80,10
81,2
82,1
83,1
84,1
85,9
86,1
87,2
88,6
89,8
90,1
91,1
92,2
93,1
94,1
95,1
96,1
97,5
98,2
99,2
100,1
101,1
102,1
103,1
104,1
105,4
106,1
107,1
108,1
109,1
110,8
111,1
112,2
113,1
114,1
115,1
116,4
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,10
130,1
131,5
132,1
133,1
134,4
135,1
136,1
137,6
138,3
139,1
140,1
141,1
142,8
143,1
144,1
145,1
146,1
147,1
148,1
149,5
150,1
151,2
152,1
153,2
154,5
155,6
156,2
157,5
158,1
159,1
160,1
161,1
162,1
163,1
164,2
165,10
166,1
167,7
168,1
169,1
170,1
171,2
172,5
173,1
174,6
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,2
184,6
185,1
186,1
187,3
188,1
189,1
190,4
191,1
192,1
193,2
194,9
195,1
196,3
197,2
198,1
199,1
200,1
201,2
202,1
203,4
204,1
205,1
206,1
207,2
208,1
209,2
210,3
211,1
212,4
213,10
214,1
215,1
216,1
217,1
218,2
219,10
220,1
221,5
222,1
223,1
224,1
225,1
226,2
227,1
228,3
229,3
230,1
231,1
232,8
233,1
234,1
235,6
236,1
237,1
238,5
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,10
247,3
248,3
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,6
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,4
267,1
268,1
269,2
270,10
271,1
272,1
273,10
274,9
275,8
276,1
277,1
278,1
279,1
280,1
281,6
282,1
283,1
284,1
285,8
286,2
287,3
288,1
289,8
290,1
291,1
292,1
293,10
294,1
295,8
296,8
297,1
298,1
299,1
300,1
301,1
302,1
303,6
304,1
305,3
306,1
307,1
308,1
309,1
310,1
311,1
312,3
313,2
314,2
315,2
316,1
317,2
318,1
319,1
320,1
321,1
322,2
323,1
324,1
325,1
326,6
327,6
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,5
337,1
338,1
339,5
340,6
341,1
342,2
343,1
344,2
345,1
346,4
347,6
348,3
349,6
350,1
351,1
352,6
353,3
354,1
355,1
356,1
357,9
358,1
359,2
360,1
361,1
362,1
363,1
364,2
365,9
366,1
367,1
368,1
369,4
370,6
371,1
372,1
373,1
374,1
375,1
376,6
377,1
378,1
379,1
380,1
381,8
382,1
383,1
384,1
385,1
386,3
387,6
388,1
389,1
390,2
391,2
392,1
393,1
394,1
395,4
396,1
397,1
398,1
399,1
400,1
401,9
402,1
403,10
404,1
405,1
406,2
407,1
408,1
409,1
410,1
411,1
412,4
413,8
414,1
415,2
416,1
417,9
418,1
419,6
420,6
421,1
422,1
423,1
424,1
425,1
426,5
427,2
428,4
429,1
430,6
431,2
432,1
433,1
434,4
435,1
436,1
437,3
438,2
439,5
440,1
441,1
442,1
443,1
444,1
445,3
446,3
447,1
448,1
449,9
450,1
451,1
452,4
453,1
454,10
455,2
456,5
457,3
458,1
459,5
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,8
471,3
472,1
473,1
474,1
475,2
476,2
477,3
478,6
479,1
480,6
481,2
482,1
483,4
484,7
485,1
486,3
487,1
488,1
489,7
490,1
491,4
492,2
493,1
494,6
495,1
496,1
497,1
498,9
499,1
500,8
501,4
502,1
503,1
504,1
505,1
506,2
507,1
508,9
509,2
510,1
511,1
512,4
513,1
514,2
515,9
516,5
517,2
518,6
519,1
520,1
521,3
522,1
523,1
524,1
525,1
526,1
527,4
528,6
529,1
530,6
531,2
532,1
533,4
534,1
535,1
536,1
537,2
538,1
539,3
540,1
541,1
542,1
543,5
544,10
545,1
546,1
547,2
548,1
549,1
550,1
551,1
552,4
553,1
554,1
555,8
556,2
557,1
558,1
559,1
560,1
561,1
562,1
563,9
564,3
565,8
566,1
567,1
568,10
569,2
570,4
571,8
572,1
573,1
574,1
575,1
576,3
577,2
578,1
579,4
580,2
581,6
582,4
583,1
584,4
585,9
586,8
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,4
598,1
599,1
600,1
601,1
602,3
603,1
604,1
605,2
606,1
607,1
608,1
609,2
610,1
611,1
612,1
613,6
614,3
615,1
616,6
617,4
618,1
619,2
620,1
621,1
622,1
623,1
624,1
625,3
626,1
627,1
628,1
629,1
630,4
631,2
632,1
633,1
634,3
635,1
636,1
637,6
638,1
639,1
640,1
641,1
642,1
643,8
644,8
645,1
646,1
647,2
648,1
649,1
650,1
651,2
652,1
653,3
654,3
655,2
656,1
657,8
658,1
659,5
660,4
661,6
662,1
663,1
664,4
665,1
666,1
667,9
668,1
669,3
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,8
687,1
688,4
689,2
690,1
691,1
692,1
693,1
694,1
695,8
696,1
697,1
698,1
699,1
700,2
701,2
702,2
703,1
704,1
705,1
706,1
707,1
708,5
709,1
710,1
711,1
712,4
713,1
714,1
715,1
716,1
717,1
718,9
719,1
720,1
721,6
722,2
723,8
724,2
725,6
726,1
727,3
728,1
729,1
730,1
731,1
732,1
733,6
734,8
735,8
736,1
737,1
738,3
739,2
740,1
741,1
742,1
743,2
744,1
745,1
746,2
747,7
748,1
749,1
750,1
751,1
752,3
753,1
754,1
755,9
756,1
757,1
758,1
759,10
760,1
761,1
762,1
763,1
764,6
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,9
777,1
778,1
779,1
780,4
781,1
782,1
783,1
784,1
785,1
786,1
787,2
788,3
789,8
790,1
791,1
792,1
793,1
794,9
795,1
796,1
797,3
798,1
799,1
800,8
801,1
802,1
803,6
804,1
805,1
806,1
807,1
808,1
809,1
810,2
811,1
812,10
813,2
814,1
815,2
816,1
817,4
818,1
819,5
820,2
821,1
822,1
823,2
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,6
832,5
833,1
834,8
835,8
836,1
837,1
838,2
839,3
840,1
841,2
842,4
843,1
844,6
845,1
846,4
847,1
848,4
849,1
850,6
851,10
852,1
853,2
854,4
855,1
856,1
857,1
858,2
859,2
860,6
861,1
862,1
863,1
864,1
865,6
866,3
867,1
868,3
869,5
870,2
871,1
872,1
873,1
874,1
875,2
876,8
877,1
878,5
879,1
880,1
881,2
882,10
883,2
884,2
885,6
886,4
887,7
888,1
889,4
890,2
891,1
892,1
893,1
894,1
895,1
896,1
897,2
898,4
899,2
900,1
901,1
902,2
903,2
904,1
905,6
906,1
907,1
908,8
909,1
910,2
911,1
912,1
913,1
914,1
915,1
916,9
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,6
929,6
930,1
931,2
932,1
933,2
934,2
935,1
936,1
937,1
938,2
939,1
940,1
941,5
942,1
943,1
944,6
945,2
946,1
947,1
948,2
949,4
950,4
951,2
952,1
953,1
954,2
955,1
956,6
957,1
958,2
959,1
960,1
961,2
962,1
963,10
964,1
965,3
966,1
967,2
968,6
969,1
970,2
971,2
972,1
973,1
974,5
975,3
976,3
977,9
978,2
979,1
980,6
981,1
982,1
983,1
984,2
985,1
986,1
987,4
988,1
989,4
990,3
991,1
992,1
993,2
994,1
995,1
996,1
997,2
998,8
999,1
1000,1
1001,1
1002,1
1003,1
1004,9
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
